Page score,Page trust score,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
1,3,"Bompreço Auto Peças Goiânia, Aparecida de Goiânia e Anápolis. | BOMPREÇO AUTO PEÇAS",http://www.bomprecopecas.com.br/add-lista/id/211957,https://bomprecoautopecas.tomticket.com/chat/?ac=589568P16022016091940&id=EP09212,,14,113,false,false,false,false,true,false,2017-11-05,2017-11-05,false,false
1,3,"Bompreço Auto Peças Goiânia, Aparecida de Goiânia e Anápolis. | BOMPREÇO AUTO PEÇAS",https://www.bomprecopecas.com.br/add-lista/id/155320,https://bomprecoautopecas.tomticket.com/chat/?ac=589568P16022016091940&id=EP09212,,14,113,false,false,false,false,true,false,2017-11-12,2017-11-30,true,false
1,3,"Bompreço Auto Peças Goiânia, Aparecida de Goiânia e Anápolis. | BOMPREÇO AUTO PEÇAS",https://www.bomprecopecas.com.br/add-lista/id/141820,https://bomprecoautopecas.tomticket.com/chat/?ac=589568P16022016091940&id=EP09212,,14,131,false,false,false,false,true,false,2017-09-18,2017-12-05,false,false
1,3,"Bompreço Auto Peças Goiânia, Aparecida de Goiânia e Anápolis. | BOMPREÇO AUTO PEÇAS",https://www.bomprecopecas.com.br/add-lista/id/75617,https://bomprecoautopecas.tomticket.com/chat/?ac=589568P16022016091940&id=EP09212,,14,131,false,false,false,false,true,false,2017-09-25,2017-09-25,false,false
1,3,"Bompreço Auto Peças Goiânia, Aparecida de Goiânia e Anápolis. | BOMPREÇO AUTO PEÇAS",https://www.bomprecopecas.com.br/add-lista/id/206053,https://bomprecoautopecas.tomticket.com/chat/?ac=589568P16022016091940&id=EP09212,,14,131,false,false,false,false,true,false,2017-09-28,2017-11-14,false,false
1,3,"Bompreço Auto Peças Goiânia, Aparecida de Goiânia e Anápolis. | BOMPREÇO AUTO PEÇAS",https://www.bomprecopecas.com.br/add-lista/id/27724,https://bomprecoautopecas.tomticket.com/chat/?ac=589568P16022016091940&id=EP09212,,14,113,false,false,false,false,true,false,2017-11-11,2017-11-28,true,false
1,3,"Bompreço Auto Peças Goiânia, Aparecida de Goiânia e Anápolis. | BOMPREÇO AUTO PEÇAS",http://www.bomprecopecas.com.br/add-lista/id/150878,https://bomprecoautopecas.tomticket.com/chat/?ac=589568P16022016091940&id=EP09212,,14,113,false,false,false,false,true,false,2017-11-18,2017-11-18,true,false
1,3,"Bompreço Auto Peças Goiânia, Aparecida de Goiânia e Anápolis. | BOMPREÇO AUTO PEÇAS",http://www.bomprecopecas.com.br/add-lista/id/57959,https://bomprecoautopecas.tomticket.com/chat/?ac=589568P16022016091940&id=EP09212,,14,113,false,false,false,false,true,false,2017-11-19,2017-11-19,true,false
1,3,"Bompreço Auto Peças Goiânia, Aparecida de Goiânia e Anápolis. | BOMPREÇO AUTO PEÇAS",https://www.bomprecopecas.com.br/add-lista/id/116164,https://bomprecoautopecas.tomticket.com/chat/?ac=589568P16022016091940&id=EP09212,,14,131,false,false,false,false,true,false,2017-09-13,2017-09-13,false,false
1,3,"Bompreço Auto Peças Goiânia, Aparecida de Goiânia e Anápolis. | BOMPREÇO AUTO PEÇAS",http://www.bomprecopecas.com.br/add-lista/id/190284,https://bomprecoautopecas.tomticket.com/chat/?ac=589568P16022016091940&id=EP09212,,14,115,false,false,false,false,true,false,2017-10-14,2017-10-14,false,false
1,3,"Bompreço Auto Peças Goiânia, Aparecida de Goiânia e Anápolis. | BOMPREÇO AUTO PEÇAS",https://www.bomprecopecas.com.br/add-lista/id/183826,https://bomprecoautopecas.tomticket.com/chat/?ac=589568P16022016091940&id=EP09212,,14,115,false,false,false,false,true,false,2017-10-05,2017-11-08,false,false
1,3,"Bompreço Auto Peças Goiânia, Aparecida de Goiânia e Anápolis. | BOMPREÇO AUTO PEÇAS",https://www.bomprecopecas.com.br/add-lista/id/215467,https://bomprecoautopecas.tomticket.com/chat/?ac=589568P16022016091940&id=EP09212,,14,116,false,false,false,false,true,false,2017-10-27,2017-10-27,false,false
1,3,"Bompreço Auto Peças Goiânia, Aparecida de Goiânia e Anápolis. | BOMPREÇO AUTO PEÇAS",https://www.bomprecopecas.com.br/add-lista/id/195465,https://bomprecoautopecas.tomticket.com/chat/?ac=589568P16022016091940&id=EP09212,,14,131,false,false,false,false,true,false,2017-07-24,2017-10-23,false,false
1,3,"Bompreço Auto Peças Goiânia, Aparecida de Goiânia e Anápolis. | BOMPREÇO AUTO PEÇAS",https://www.bomprecopecas.com.br/add-lista/id/38531,https://bomprecoautopecas.tomticket.com/chat/?ac=589568P16022016091940&id=EP09212,,14,116,false,false,false,false,true,false,2017-10-17,2017-10-17,false,false
1,3,"Bompreço Auto Peças Goiânia, Aparecida de Goiânia e Anápolis. | BOMPREÇO AUTO PEÇAS",https://www.bomprecopecas.com.br/add-lista/id/45701,https://bomprecoautopecas.tomticket.com/chat/?ac=589568P16022016091940&id=EP09212,,14,113,false,false,false,false,true,false,2017-11-15,2017-11-15,true,false
1,3,"Bompreço Auto Peças Goiânia, Aparecida de Goiânia e Anápolis. | BOMPREÇO AUTO PEÇAS",http://www.bomprecopecas.com.br/add-lista/id/88024,https://bomprecoautopecas.tomticket.com/chat/?ac=589568P16022016091940&id=EP09212,,14,113,false,false,false,false,true,false,2017-11-03,2017-11-20,false,false
1,3,"Bompreço Auto Peças Goiânia, Aparecida de Goiânia e Anápolis. | BOMPREÇO AUTO PEÇAS",http://www.bomprecopecas.com.br/add-lista/id/22357,https://bomprecoautopecas.tomticket.com/chat/?ac=589568P16022016091940&id=EP09212,,14,116,false,false,false,false,true,false,2017-10-21,2017-10-21,false,false
1,3,"Bompreço Auto Peças Goiânia, Aparecida de Goiânia e Anápolis. | BOMPREÇO AUTO PEÇAS",http://www.bomprecopecas.com.br/add-lista/id/20463,https://bomprecoautopecas.tomticket.com/chat/?ac=589568P16022016091940&id=EP09212,,14,113,false,false,false,false,true,false,2017-11-09,2017-11-23,false,false
1,3,"Bompreço Auto Peças Goiânia, Aparecida de Goiânia e Anápolis. | BOMPREÇO AUTO PEÇAS",http://www.bomprecopecas.com.br/add-lista/id/48129,https://bomprecoautopecas.tomticket.com/chat/?ac=589568P16022016091940&id=EP09212,,14,131,false,false,false,false,true,false,2017-08-25,2017-11-06,false,false
1,3,"Bompreço Auto Peças Goiânia, Aparecida de Goiânia e Anápolis. | BOMPREÇO AUTO PEÇAS",http://www.bomprecopecas.com.br/add-lista/id/206271,https://bomprecoautopecas.tomticket.com/chat/?ac=589568P16022016091940&id=EP09212,,14,131,false,false,false,false,true,false,2017-08-15,2017-11-15,false,false
1,3,"Bompreço Auto Peças Goiânia, Aparecida de Goiânia e Anápolis. | BOMPREÇO AUTO PEÇAS",http://www.bomprecopecas.com.br/add-lista/id/13553,https://bomprecoautopecas.tomticket.com/chat/?ac=589568P16022016091940&id=EP09212,,14,113,false,false,false,false,true,false,2017-11-04,2017-11-04,false,false
