Nome	Total de Leads	Total de Leads Qualificados	Leads Qualificados no período	Eficiência
base_webinar	421	4	4	0.009501187648456057
tecnologia-no-atendimento-info	21	4	4	0.19047619047619047
/monte-uma-central-de-atendimento-ao-cliente/	22	4	4	0.18181818181818182
/cultura-de-atendimento-o-que-e/	23	4	4	0.17391304347826086
site-exit-intent-help-desk-testeB	10	4	4	0.4
Cpia_de_Users_octa	280	4	4	0.014285714285714285
blog-exit-intent-lightbox-optinmonster	43	5	4	0.11627906976744186
site-materiais-infografico-satisfacao	21	3	3	0.14285714285714285
site-materiais-infografico-retencao	17	4	3	0.23529411764705882
typage-kit-planilhas-atendimento	7	5	3	0.7142857142857143
/gestao-de-pessoas-atendimento-ao-cliente/	10	3	3	0.3
ebook-satisfacao-do-cliente	45	3	3	0.06666666666666667
site-exit-intent-sistema-de-chamados	8	3	3	0.375
/sistema-de-chamados	6	3	3	0.5
/mau-atendimento-excelente-produto/	20	3	3	0.15
/chat-para-site	5	3	3	0.6
/materiais-para-helpdesk	5	3	3	0.6
/casos-de-sucesso/sistema-de-atendimento	3	3	3	1.0
rdsummit_cartoes	51	3	3	0.058823529411764705
/sistema-de-atendimento-ao-cliente-ad	2	2	2	1.0
/porque-nao-usar-planilha-de-atendimento/	4	2	2	0.5
/planos/sistema-de-chamados	4	2	2	0.5
/diferencas-service-desk-e-help-desk/	8	2	2	0.25
kit-ebooks-e-planilhas	13	2	2	0.15384615384615385
/sistema-de-atendimento-ao-cliente/	6	2	2	0.3333333333333333
/recrutamento-de-pessoas/	8	2	2	0.25
/help-desk	5	2	2	0.4
site-exit-intent-casos-de-sucesso	5	2	2	0.4
site-exit-intent-help-desk	4	2	2	0.5
avaliacao-gratis-menu	5	2	2	0.4
contabil-7-erros-mais-comuns	80	2	2	0.025
rdsummit2016_app	173	2	2	0.011560693641618497
como-reduzir-custos-com-atendimento-ao-cliente-v2	78	2	2	0.02564102564102564
blog-newsletter-final-post	30	2	2	0.06666666666666667
lp-seo-sistema-help-desk	3	2	1	0.6666666666666666
Criação de Conta - Intenção de Sair	121	1	1	0.008264462809917356
Untitled form 9/11/2017	1	1	1	1.0
/sistema-help-desk-ad	1	1	1	1.0
/sistema-de-chamados-ad	1	1	1	1.0
PreBlackFridayLeadAds	1	1	1	1.0
/planilha-de-help-desk/	2	1	1	0.5
/planilha-de-cadastro-de-clientes/	2	1	1	0.5
lp-seo-sistema-chamados	5	2	1	0.4
Campanha_Dia_do_contador	430	2	1	0.004651162790697674
/cadastro-de-clientes-ad	1	1	1	1.0
/7-dicas-bom-atendimento-ao-cliente/	6	1	1	0.16666666666666666
typage-kit-ebooks-planilhas	2	1	1	0.5
passed-clean-octadesk	165	1	1	0.006060606060606061
lp-jornada-do-cliente-agendor-social	7	1	1	0.14285714285714285
/dez-dicas-de-atendimento-ao-cliente-para-pequenas-empresas/	2	1	1	0.5
chat-para-site	2	1	1	0.5
topo-menu-experimente-o-octadesk	2	1	1	0.5
teste-utm-chat	1	1	1	1.0
site-exit-intent-freshdesk	2	1	1	0.5
infografico-como-atender-bem-seus-clientes-nas-redes-sociais	3	1	1	0.3333333333333333
guia-os-dez-mandamentos-de-sucesso-no-atendimento-ao-cliente	15	1	1	0.06666666666666667
/gestao-de-processos-no-atendimento/	12	1	1	0.08333333333333333
/ebooks-atendimento-ao-cliente/	1	1	1	1.0
/dicas-relacionamento-com-o-cliente/	6	2	1	0.3333333333333333
contabil-7-erros-mais-comuns-v2	7	2	1	0.2857142857142857
/concorrentes/freshdesk	1	1	1	1.0
/comparativo/controle-de-chamados	1	1	1	1.0
9-chaves-para-atender-bem-e-atender-sempre	19	1	1	0.05263157894736842
this.RdIdentificator	9	1	1	0.1111111111111111
site-exit-intent-zendeskk	2	1	1	0.5
site-exit-intent-chat	3	1	1	0.3333333333333333
/e-commerce-news/	1	1	1	1.0
/diferenca-omnichannel-multichannel/	2	1	1	0.5
site-lp-zendesk-exit-intent-testeB	2	1	1	0.5
site-exit-intent-planos-precos-testeB	1	1	1	1.0
insercao-manual	8	1	1	0.125
ebook-atendimento-ao-cliente-site	3	1	1	0.3333333333333333
lps-content-exit-itent-newsletter	6	1	1	0.16666666666666666
hubspot_via_zapier	70	1	1	0.014285714285714285
