Page score,Page trust score,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
1,0,Delícias do Instagr.am « Universo Fnac,http://www.universofnac.com.br/fnac/delicias-do-instagr-am/,http://fnac.neoassist.com/?action=answer&cat=200193&id=467785&match_number=2&question=Contato%20SAC,Sac,26,23,false,true,false,false,false,false,2017-07-26,2017-11-08,false,false
1,0,imagem_01 « Universo Fnac,http://www.universofnac.com.br/?attachment_id=129340,http://fnac.neoassist.com/?action=answer&cat=200193&id=467785&match_number=2&question=Contato%2BSAC,Sac,23,14,false,true,false,false,false,false,2017-11-19,2017-12-04,true,false
1,0,AF_Capa Os Sete_CMYK « Universo Fnac,http://www.universofnac.com.br/?attachment_id=129381,http://fnac.neoassist.com/?action=answer&cat=200193&id=467785&match_number=2&question=Contato%20SAC,Sac,23,12,false,true,false,false,false,false,2017-09-07,2017-11-08,false,false
1,0,Chapéu di Paia « Universo Fnac,http://www.universofnac.com.br/evento/chapeu-di-paia/,http://fnac.neoassist.com/?action=answer&cat=200193&id=467785&match_number=2&question=Contato%20SAC,Sac,17,32,false,true,false,false,false,false,2017-09-22,2017-11-08,false,false
1,0,DOMINGUINHOS « Universo Fnac,http://www.universofnac.com.br/evento/7546/,http://fnac.neoassist.com/?action=answer&cat=200193&id=467785&match_number=2&question=Contato%20SAC,Sac,22,165,false,true,false,false,false,false,2017-03-02,2017-10-07,false,false
1,0,Conhecimento e Salário| João Pedroso « Universo Fnac,http://www.universofnac.com.br/evento/conhecimento-e-salariojoao-pedroso/,http://fnac.neoassist.com/?action=answer&cat=200193&id=467785&match_number=2&question=Contato%20SAC,Sac,16,131,false,true,false,false,false,false,2017-08-14,2017-11-13,false,false
1,0,Eventos para 9 abril 2017 « Universo Fnac,http://www.universofnac.com.br/calendario/2017-04-09/,http://fnac.neoassist.com/?action=answer&cat=200193&id=467785&match_number=2&question=Contato%20SAC,Sac,16,23,false,true,false,false,false,false,2017-09-07,2017-11-08,false,false
1,0,Eventos para 3 março 2013 « Universo Fnac,http://www.universofnac.com.br/calendario/2013-03-03?eventDate=2013-03-03&eventDisplay=day&post_type=tribe_events,http://fnac.neoassist.com/?action=answer&cat=200193&id=467785&match_number=2&question=Contato%20SAC,Sac,15,20,false,true,false,false,false,false,2017-11-13,2017-11-13,true,false
1,0,batman2 « Universo Fnac,http://www.universofnac.com.br/?attachment_id=129318,http://fnac.neoassist.com/?action=answer&cat=200193&id=467785&match_number=2&question=Contato%20SAC,Sac,23,12,false,true,false,false,false,false,2017-09-17,2017-10-18,false,false
1,0,Eventos para 22 agosto 2015 « Universo Fnac,http://www.universofnac.com.br/calendario/2015-08-22/,http://fnac.neoassist.com/?action=answer&cat=200193&id=467785&match_number=2&question=Contato%20SAC,Sac,20,35,false,true,false,false,false,false,2017-08-24,2017-10-24,false,false
1,0,Eventos para 25 março 2014 « Universo Fnac,http://www.universofnac.com.br/calendario/2014-03-25?eventDate=2014-03-25&eventDisplay=day&post_type=tribe_events,http://fnac.neoassist.com/?action=answer&cat=200193&id=467785&match_number=2&question=Contato%20SAC,Sac,19,32,false,true,false,false,false,false,2017-11-08,2017-11-08,false,false
1,0,Eventos para 21 agosto 2016 « Universo Fnac,http://www.universofnac.com.br/calendario/2016-08-21/,http://fnac.neoassist.com/?action=answer&cat=200193&id=467785&match_number=2&question=Contato%20SAC,Sac,15,20,false,true,false,false,false,false,2017-07-26,2017-11-08,false,false
1,0,Visita de Personagem – Backyardigans « Universo Fnac,http://www.universofnac.com.br/evento/visita-de-personagem-backyardigans/,http://fnac.neoassist.com/?action=answer&cat=200193&id=467785&match_number=2&question=Contato%20SAC,Sac,22,161,false,true,false,false,false,false,2017-03-02,2017-10-23,false,false
1,0,Eventos para 27 março 2017 « Universo Fnac,http://www.universofnac.com.br/calendario/2017-03-27/,http://fnac.neoassist.com/?action=answer&cat=200193&id=467785&match_number=2&question=Contato%20SAC,Sac,17,26,false,true,false,false,false,false,2017-10-23,2017-11-08,false,false
1,0,Geração Star Wars « Universo Fnac,http://www.universofnac.com.br/fnac/geracao-star-wars/,http://fnac.neoassist.com/?action=answer&cat=200193&id=467785&match_number=2&question=Contato%2BSAC,Sac,27,25,false,true,false,false,false,false,2017-11-24,2017-11-24,true,false
1,0,Eventos para 24 março 2014 « Universo Fnac,http://www.universofnac.com.br/calendario/2014-03-24/,http://fnac.neoassist.com/?action=answer&cat=200193&id=467785&match_number=2&question=Contato%20SAC,Sac,16,23,false,true,false,false,false,false,2017-09-12,2017-10-29,false,false
1,0,Canto do Conto « Universo Fnac,http://www.universofnac.com.br/evento/canto-do-conto-384/,http://fnac.neoassist.com/?action=answer&cat=200193&id=467785&match_number=2&question=Contato%20SAC,Sac,16,179,false,true,false,false,false,false,2017-07-26,2017-10-24,false,false
1,0,Eventos para 14 maio 2017 « Universo Fnac,http://www.universofnac.com.br/calendario/2017-05-14?eventDate=2017-05-14&eventDisplay=day&post_type=tribe_events,http://fnac.neoassist.com/?action=answer&cat=200193&id=467785&match_number=2&question=Contato%20SAC,Sac,17,26,false,true,false,false,false,false,2017-11-08,2017-11-08,false,false
1,0,The Oscars | Salada de Cinema « Universo Fnac,http://www.universofnac.com.br/evento/the-oscars-salada-de-cinema-2/,http://fnac.neoassist.com/?action=answer&cat=200193&id=467785&match_number=2&question=Contato%2BSAC,Sac,16,40,false,true,false,false,false,false,2017-12-04,2017-12-04,true,false
1,0,Associado Fnac: Costa do Sauípe com descontos exclusivos para os Namorados ;-) « Universo Fnac,http://www.universofnac.com.br/fnac/associado-fnac-costa-do-sauipe-com-descontos-exclusivos-para-os-namorados/,http://fnac.neoassist.com/?action=answer&cat=200193&id=467785&match_number=2&question=Contato%20SAC,Sac,17,16,false,true,false,false,false,false,2017-01-20,2017-11-08,false,false
1,0,steve-jobs-macintosh3 « Universo Fnac,http://www.universofnac.com.br/?attachment_id=129625,http://fnac.neoassist.com/?action=answer&cat=200193&id=467785&match_number=2&question=Contato%20SAC,Sac,23,12,false,true,false,false,false,false,2017-10-29,2017-11-13,false,false
