Domain score,Domain trust score,Domain,Backlinks,IP Address,Country,First seen,Last seen
37,43,mapmyfitness.com,37,192.161.147.1,us,2017-01-31,2017-11-21
42,49,ubnt.com,37,192.161.156.1,us,2017-04-25,2017-11-14
29,37,baguete.com.br,36,200.192.130.59,br,2017-02-04,2017-12-09
23,34,thermal.com,34,188.172.138.1,ie,2017-09-09,2017-12-06
26,33,kounta.com,31,192.161.154.1,us,2017-09-13,2017-11-29
26,35,pluga.co,30,54.233.240.103,br,2017-05-13,2017-12-05
22,34,seedsman.com,29,185.12.82.1,ie,2017-09-12,2017-12-04
24,29,buuteeq.me,26,188.172.138.1,ie,2017-08-27,2017-12-08
15,29,agilize.com.br,25,192.161.147.1,us,2017-11-18,2017-11-30
18,19,lumiun.com,24,169.57.153.162,br,2017-06-14,2017-12-08
18,31,edools.com,24,104.196.110.55,us,2016-10-13,2017-12-06
42,45,vigilantesdopeso.com.br,22,192.161.156.1,us,2017-04-23,2017-12-08
1,0,btsdl.us,20,188.213.134.217,ro,2017-10-24,2017-11-15
35,41,ioffer.com,19,192.161.154.1,us,2017-09-28,2017-12-04
7,9,distrito.me,19,72.8.128.242,us,2016-02-17,2017-12-07
30,36,unbabel.com,16,34.198.231.92,us,2017-10-06,2017-12-02
8,6,investtools.com.br,16,52.4.92.255,us,2017-05-11,2017-12-05
0,0,wiy.com.br,16,192.99.63.227,ca,2017-06-12,2017-11-15
54,57,freepik.com,15,185.12.82.1,ie,2017-09-22,2017-12-08
1,0,artenacara.com.br,15,104.236.244.34,us,2017-05-14,2017-12-07
40,46,couchsurfing.org,15,34.192.144.44,us,2017-09-27,2017-11-02
20,31,tibahia.com,13,104.28.27.29,us,2015-10-07,2017-12-09
17,31,overbr.com.br,13,96.47.227.104,us,2017-01-26,2017-12-05
21,32,ccxp.com.br,11,192.161.156.1,us,2017-11-20,2017-12-02
22,32,mises.org.br,11,52.55.157.123,us,2017-06-12,2017-12-05
10,13,miditecnologico.com.br,11,52.44.134.41,us,2016-12-30,2017-12-08
26,35,wedologos.com.br,11,45.63.55.30,us,2017-03-18,2017-12-08
22,35,documentodoestudante.com.br,11,192.161.147.1,us,2017-11-16,2017-12-08
10,16,rdontheroad.com.br,10,52.216.82.34,us,2017-03-04,2017-12-03
21,30,ever.com,10,192.161.156.1,us,2017-09-29,2017-10-21
55,61,trello.com,9,104.198.231.76,us,2016-12-30,2017-12-09
15,30,satisfacaodeclientes.com,8,209.15.20.225,ca,2017-09-01,2017-12-05
7,28,cobregratis.com.br,8,34.198.231.92,us,2017-11-21,2017-12-08
22,33,clientesa.com.br,8,179.188.42.150,br,2017-06-16,2017-12-09
6,28,foscam.com.br,8,192.161.147.1,us,2017-11-18,2017-12-02
24,33,runrun.it,8,162.243.1.197,us,2017-01-21,2017-12-09
0,0,similarto.us,8,104.28.26.107,us,2017-06-22,2017-12-08
19,22,inovesenior.com.br,7,174.142.207.205,ca,2016-12-29,2017-12-08
42,51,leagueoflegends.com,7,52.34.40.100,us,2017-09-08,2017-10-19
32,39,resultadosdigitais.com.br,7,104.198.13.25,us,2017-09-18,2017-12-04
1,0,lingerie25.com.br,7,35.165.147.248,us,2017-07-30,2017-11-12
20,31,contentools.com.br,7,104.28.17.190,us,2017-01-19,2017-12-08
28,36,contaazul.com,6,177.71.192.246,br,2017-01-24,2017-12-05
8,5,wm10.com.br,6,187.109.76.246,br,2017-10-04,2017-12-06
28,37,digitalks.com.br,6,67.205.157.99,us,2017-06-25,2017-11-30
9,12,pagueveloz.com.br,6,200.247.177.12,br,2017-08-04,2017-12-03
