Page score,Page trust score,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
1,3,Infographic: loyalty rewards | Zendesk,https://www.zendesk.com/blog/loyalty-rewards/,https://www.zendesk.com.br/,Português,20,116,false,true,false,false,false,false,2017-06-22,2017-11-08,false,false
1,3,Newsletter | Zendesk,https://www.zendesk.fr/support/newsletter/,https://www.zendesk.com.br/,Português,51,78,false,true,false,false,false,false,2017-07-30,2017-11-12,false,false
1,3,Newsletter | Zendesk,https://www.zendesk.es/support/newsletter/,https://www.zendesk.com.br/,Português,50,79,false,true,false,false,false,false,2017-08-19,2017-12-04,false,false
1,0,Newsletter | Zendesk,https://www.zendesk.kr/support/newsletter/,https://www.zendesk.com.br/,Português,50,79,false,true,false,false,false,false,2017-09-08,2017-12-09,false,false
1,0,Newsletter | Zendesk,https://www.zendesk.co.jp/support/newsletter/,https://www.zendesk.com.br/,Português,51,79,false,true,false,false,false,false,2017-08-25,2017-11-24,false,false
1,3,ModCloth Customer Service Story | Zendesk,https://www.zendesk.com/customer/modcloth/,https://www.zendesk.com.br/customer/modcloth/,Português,21,97,false,true,false,false,false,false,2017-10-31,2017-11-17,false,false
1,3,ModCloth Customer Service Story | Zendesk,https://www.zendesk.com/customer/modcloth/,https://www.zendesk.com.br/,Português,20,98,false,true,false,false,false,false,2017-07-22,2017-10-31,false,true
1,3,Costco Supports Customers Through Liberal Return Policy,https://www.zendesk.com/blog/costcos-ridiculously-liberal-nearly-anything-goes-return-policy/,https://www.zendesk.com.br/,Português,23,122,false,true,false,false,false,false,2017-06-02,2017-12-01,false,false
1,3,As 46 melhores ferramentas de Marketing,https://marketingdeconteudo.com/ferramentas-de-marketing/,https://www.zendesk.com.br/,Zendesk,69,60,false,true,false,false,false,false,2017-09-18,2017-11-03,false,false
1,3,As 47 melhores ferramentas de Marketing para a sua empresa!,https://marketingdeconteudo.com/ferramentas-de-marketing/,https://www.zendesk.com.br/#tour,Zendesk,69,64,false,true,false,false,false,false,2017-12-05,2017-12-05,true,false
1,3,"Conferência E-Commerce Brasil DF 2016 - Dia 28 de abril, os principais players se reúnem em Brasília para discutir as principais questões do mercado de e-commerce.Conferência E-Commerce Brasil DF 2016 | Dia 28 de abril, os principais players se reúnem em Brasília para discutir as principais questões do mercado de e-commerce.",https://www.ecommercebrasil.com.br/conferencia-df-2016/,http://www.zendesk.com.br/,A Zendesk fornece software para gerenciamento de atendimento aproximando organizações e clientes.,96,6,false,true,false,false,false,false,2017-07-04,2017-11-04,false,false
1,3,Microsoft Dynamics CRM Help Desk by Zendesk,https://www.zendesk.com/product/features/microsoft-dynamics-crm-help-desk/,https://www.zendesk.com.br/,Português,21,97,false,true,false,false,false,false,2017-07-28,2017-10-12,false,false
1,3,"Customer service in a noisy, social world | Zendesk",https://www.zendesk.com/blog/social-customer-service/,https://www.zendesk.com.br/,Português,24,117,false,true,false,false,false,false,2017-07-06,2017-10-24,false,false
1,3,3 ways to use data to scale your support | Zendesk,https://www.zendesk.com/blog/use-data-to-scale-support/,https://www.zendesk.com.br/,Português,20,125,false,true,false,false,false,false,2017-08-09,2017-11-07,false,false
1,3,The 5 most amazing BuzzFeed support tickets of all time | Zendesk,https://www.zendesk.com/blog/amazing-buzzfeed-support-tickets/,https://www.zendesk.com.br/,Português,22,119,false,true,false,false,false,false,2017-06-03,2017-10-08,false,false
1,3,SSD a opção de desempenho na hora do jogo – bringIT Comércio Eletrônico | Atendimento ao Cliente,https://suporte.bringit.com.br/hc/pt-br/articles/236090548-SSD-a-op%C3%A7%C3%A3o-de-desempenho-na-hora-do-jogo,https://www.zendesk.com.br/help-center/,Powered by Zendesk,11,37,false,true,false,false,false,false,2017-11-05,2017-11-05,false,false
