Keyword,Position,Previous Position,Search Volume,Keyword Difficulty Index,CPC,Url,Traffic (%),Traffic Cost (%),Competition,Number of Results,Trends,Timestamp
"zendesk open source","1","1","90","43.05","5.27","https://www.zendesk.com.br/help-desk-software/features/open-source-help-desk/","0.40","0.06","0.78","438000","0.43,1.00,0.29,1.00,1.00,0.14,0.57,0.14,0.43,0.43,0.43,0.14","1513424342"
"online ticketing system free","1","2","90","30.18","0.00","https://www.zendesk.com.br/support/features/free-online-ticketing-system/","0.40","0.00","0.00","16100000","0.22,0.11,0.11,1.00,0.78,0.56,0.11,0.11,0.33,0.11,0.22,0.11","1513593737"
"hosted helpdesk","1","2","90","23.97","0.00","https://www.zendesk.com.br/help-desk-software/features/hosted-help-desk/","0.40","0.00","0.00","21400000","0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,1.00,0.20,0.20","1509750429"
"it support ticket system","1","0","90","51.06","0.00","https://www.zendesk.com.br/help-desk-software/features/ticketing-system/","0.40","0.00","0.00","23400000","1.00,0.11,0.11,1.00,0.11,0.56,0.11,0.11,0.11,0.11,0.11,0.11","1509732623"
"powered by zendesk","1","2","90","56.04","0.00","https://www.zendesk.com.br/guide/","0.40","0.00","0.57","714000","0.11,0.11,0.11,0.11,1.00,0.33,1.00,0.33,0.56,0.56,0.78,0.11","1513560278"
"simple ticketing system","1","1","90","51.42","0.00","https://www.zendesk.com.br/support/features/simple-ticket-system/","0.40","0.00","0.00","12400000","0.11,0.56,0.11,0.56,1.00,0.11,0.11,0.11,0.11,0.11,0.11,0.11","1511185157"
"zendesk com","1","1","90","76.36","5.89","https://www.zendesk.com.br/","0.40","0.07","0.52","9070000","0.71,0.14,0.57,0.14,1.00,0.43,1.00,0.43,0.71,0.71,0.71,0.14","1513428982"
"online help desk system","1","1","90","47.48","0.00","https://www.zendesk.com.br/help-desk-software/features/online-help-desk-software/","0.40","0.00","0.00","22100000","0.14,0.14,0.57,0.14,0.14,1.00,0.14,0.14,0.14,0.14,0.43,0.14","1513593369"
"service desk software itil","1","0","90","31.50","0.00","https://www.zendesk.com.br/support/details/itil-help-desk/","0.40","0.00","0.00","338000","0.11,0.11,0.33,1.00,0.11,0.11,0.11,0.56,0.33,0.33,1.00,0.11","1511198620"
"trouble ticket software","1","1","70","41.88","0.00","https://www.zendesk.com.br/help-desk-software/features/trouble-ticket-software/","0.31","0.00","0.71","3630000","1.00,0.44,0.11,0.44,0.11,0.11,0.78,0.11,0.44,0.44,0.44,0.22","1511325287"
"remote help desk","1","1","70","50.94","0.00","https://www.zendesk.com.br/support/features/remote-helpdesk-software/","0.31","0.00","0.91","6080000","0.11,1.00,0.44,0.11,0.11,0.22,0.78,0.22,0.44,0.44,1.00,0.22","1511784267"
"ticketing software","1","1","70","37.11","32.13","https://www.zendesk.com.br/help-desk-software/features/ticketing-system/","0.31","0.30","0.86","14500000","0.33,0.78,0.22,0.78,1.00,0.44,0.44,0.11,0.78,0.78,0.78,0.78","1511177433"
"ticketing system software","1","1","70","41.43","0.00","https://www.zendesk.com.br/help-desk-software/features/ticketing-system/","0.31","0.00","1.00","91200000","0.57,0.14,0.14,0.14,0.14,0.29,0.43,1.00,0.14,0.14,0.14,1.00","1511326459"
"software ticketing","1","1","70","39.97","0.00","https://www.zendesk.com.br/help-desk-software/features/ticketing-system/","0.31","0.00","0.00","17100000","1.00,0.33,0.67,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33","1511332483"
"system ticket","1","0","70","48.83","0.00","https://www.zendesk.com.br/help-desk-software/features/ticketing-system/","0.31","0.00","0.46","194000000","0.44,1.00,0.33,1.00,1.00,0.11,0.56,0.22,0.44,0.44,0.44,0.22","1511396898"
