month+year first conv date;day first conv date;Week first conv date;month first conv date;year first conv date;first conversion date;origem;email domain analysis;Conversões;Eventos (Últimos 100)
01/01/2017;10;2;1;2017;10/01/2017;Desconhecido;0;4;Criação de Conta - Sucesso / Criação de Conta - Dados da Empresa / Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso
01/01/2017;10;2;1;2017;10/01/2017;Desconhecido;1;4;Criação de Conta - Sucesso / Criação de Conta - Dados da Empresa / Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso
01/01/2017;10;2;1;2017;10/01/2017;Desconhecido;1;4;Criação de Conta - Sucesso / Criação de Conta - Dados da Empresa / Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso
01/01/2017;10;2;1;2017;10/01/2017;Desconhecido;1;4;Criação de Conta - Sucesso / Criação de Conta - Dados da Empresa / Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso
01/01/2017;10;2;1;2017;10/01/2017;Desconhecido;1;6;Criação de Conta - Sucesso / Criação de Conta - Dados da Empresa / Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso / site-exit-intent-consulting / site-contato-footer
01/01/2017;11;2;1;2017;11/01/2017;Desconhecido;0;2;lp-fidelizar-clientes-e-melhorar-sua-empresa / site-exit-intent-consulting
01/01/2017;11;2;1;2017;11/01/2017;Desconhecido;0;5;Criação de Conta - Dados de Acesso / Criação de Conta - Sucesso / Criação de Conta - Dados da Empresa / Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso
01/01/2017;11;2;1;2017;11/01/2017;Desconhecido;0;4;Criação de Conta - Sucesso / Criação de Conta - Dados da Empresa / Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso
01/01/2017;11;2;1;2017;11/01/2017;Desconhecido;0;7;IntegracaoExact / IntegracaoExact / form-trial-experimente-o-octadesk / Criação de Conta - Sucesso / Criação de Conta - Dados da Empresa / Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso
01/01/2017;11;2;1;2017;11/01/2017;Desconhecido;1;4;Criação de Conta - Sucesso / Criação de Conta - Dados da Empresa / Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso
01/01/2017;11;2;1;2017;11/01/2017;Desconhecido;0;4;Criação de Conta - Sucesso / Criação de Conta - Dados da Empresa / Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso
01/01/2017;12;2;1;2017;12/01/2017;Desconhecido;0;4;Criação de Conta - Sucesso / Criação de Conta - Dados da Empresa / Criação de Conta - Dados Pessoais / Criação de Conta - Dados Pessoais
01/01/2017;12;2;1;2017;12/01/2017;Desconhecido;1;1;Criação de Conta - Dados de Acesso
01/01/2017;12;2;1;2017;12/01/2017;Desconhecido;1;1;site-exit-intent-consulting
01/01/2017;13;2;1;2017;13/01/2017;Busca Orgânica;1;3;IntegracaoExact / checklist-de-atendimento-ao-cliente / blog-exit-intent-lightbox-optinmonster
01/01/2017;13;2;1;2017;13/01/2017;Desconhecido;0;4;Criação de Conta - Sucesso / Criação de Conta - Dados da Empresa / Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso
01/01/2017;13;2;1;2017;13/01/2017;Tráfego Direto;0;1;como-melhorar-a-qualidade-no-atendimento-ao-cliente-v2
01/01/2017;13;2;1;2017;13/01/2017;Social | Facebook;0;3;IntegracaoExact / IntegracaoExact / como-melhorar-a-qualidade-no-atendimento-ao-cliente-v2
01/01/2017;14;2;1;2017;14/01/2017;Referência;0;3;IntegracaoExact / como-melhorar-a-qualidade-no-atendimento-ao-cliente-v2 / como-melhorar-a-qualidade-no-atendimento-ao-cliente-v2
01/01/2017;14;2;1;2017;14/01/2017;Tráfego Direto;1;3;IntegracaoExact / IntegracaoExact / como-melhorar-a-qualidade-no-atendimento-ao-cliente-v2
01/01/2017;14;2;1;2017;14/01/2017;Social | Facebook;0;3;IntegracaoExact / IntegracaoExact / como-melhorar-a-qualidade-no-atendimento-ao-cliente-v2
01/01/2017;14;2;1;2017;14/01/2017;Desconhecido;0;7;importacao-users-julho-tag-v2 / users-julho / checklist-de-atendimento-ao-cliente / Criação de Conta - Sucesso / Criação de Conta - Dados da Empresa / Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso
01/01/2017;14;2;1;2017;14/01/2017;Tráfego Direto;0;2;IntegracaoExact / como-melhorar-a-qualidade-no-atendimento-ao-cliente-v2
01/01/2017;16;3;1;2017;16/01/2017;Social | Facebook;0;3;IntegracaoExact / IntegracaoExact / como-melhorar-a-qualidade-no-atendimento-ao-cliente-v2
01/01/2017;16;3;1;2017;16/01/2017;Social | Facebook;0;2;IntegracaoExact / como-melhorar-a-qualidade-no-atendimento-ao-cliente-v2
01/01/2017;16;3;1;2017;16/01/2017;Social | LinkedIn;0;2;IntegracaoExact / como-melhorar-a-qualidade-no-atendimento-ao-cliente-v2
01/01/2017;16;3;1;2017;16/01/2017;Desconhecido;0;15;Criação de Conta - Dados da Empresa / Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso / Criação de Conta - Sucesso / Criação de Conta - Dados da Empresa / Criação de Conta - Dados da Empresa / Criação de Conta - Dados da Empresa / Criação de Conta - Dados da Empresa / Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso / Criação de Conta - Dados de Acesso / Criação de Conta - Sucesso / Criação de Conta - Dados da Empresa / Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso
01/01/2017;16;3;1;2017;16/01/2017;Desconhecido;1;5;Criação de Conta - Sucesso / Criação de Conta - Dados da Empresa / Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso / site-modal-demo-suporte
01/01/2017;16;3;1;2017;16/01/2017;Desconhecido;0;4;Criação de Conta - Sucesso / Criação de Conta - Dados da Empresa / Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso
01/01/2017;16;3;1;2017;16/01/2017;Desconhecido;0;2;Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso
01/01/2017;16;3;1;2017;16/01/2017;Desconhecido;0;2;Criação de Conta - Dados de Acesso / Criação de Conta - Dados de Acesso
01/01/2017;17;3;1;2017;17/01/2017;Social | LinkedIn;1;5;IntegracaoExact / IntegracaoExact / IntegracaoExact / IntegracaoExact / como-melhorar-a-qualidade-no-atendimento-ao-cliente-v2
01/01/2017;17;3;1;2017;17/01/2017;Referência;1;3;IntegracaoExact / IntegracaoExact / como-melhorar-a-qualidade-no-atendimento-ao-cliente-v2
01/01/2017;17;3;1;2017;17/01/2017;Social | LinkedIn;1;2;IntegracaoExact / como-melhorar-a-qualidade-no-atendimento-ao-cliente-v2
01/01/2017;17;3;1;2017;17/01/2017;Desconhecido;1;5;IntegracaoExact / Criação de Conta - Sucesso / Criação de Conta - Dados da Empresa / Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso
01/01/2017;17;3;1;2017;17/01/2017;Desconhecido;1;12;importacao-users-julho-tag-v2 / users-julho / Criação de Conta - Dados da Empresa / Criação de Conta - Dados da Empresa / Criação de Conta - Dados da Empresa / Criação de Conta - Dados da Empresa / Criação de Conta - Dados da Empresa / Criação de Conta - Dados da Empresa / Criação de Conta - Dados da Empresa / Criação de Conta - Dados da Empresa / Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso
01/01/2017;17;3;1;2017;17/01/2017;Social | Facebook;0;6;lp-cxtrends-2017 / tecnologia-no-atendimento-info / IntegracaoExact / IntegracaoExact / lp-gestao-de-pessoas-atendimento-cliente / como-melhorar-a-qualidade-no-atendimento-ao-cliente-v2
01/01/2017;17;3;1;2017;17/01/2017;Desconhecido;0;2;Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso
01/01/2017;17;3;1;2017;17/01/2017;Desconhecido;0;4;Criação de Conta - Sucesso / Criação de Conta - Dados da Empresa / Criação de Conta - Dados Pessoais / Criação de Conta - Dados de Acesso
01/01/2017;17;3;1;2017;17/01/2017;Social | Facebook;1;2;como-reduzir-custos-com-atendimento-ao-cliente-v2 / como-melhorar-a-qualidade-no-atendimento-ao-cliente-v2
01/01/2017;18;3;1;2017;18/01/2017;Desconhecido;0;1;Criação de Conta - Dados de Acesso
01/01/2017;18;3;1;2017;18/01/2017;Social | Facebook;1;4;lp-jornada-do-cliente-agendor / IntegracaoExact / IntegracaoExact / como-melhorar-a-qualidade-no-atendimento-ao-cliente-v2
01/01/2017;18;3;1;2017;18/01/2017;Desconhecido;0;1;Criação de Conta - Dados de Acesso
01/01/2017;18;3;1;2017;18/01/2017;Desconhecido;0;1;site-exit-intent-consulting
