Nome	Total de Leads	Total de Leads Qualificados	Leads Qualificados no período	Eficiência
site-materiais-ebook-gestao-de-pessoas-gama	47	9	9	0.19148936170212766
site-materiais-webinar-treinamento-octadesk	58	9	9	0.15517241379310345
site-exit-intent-planos-precos	14	9	9	0.6428571428571429
/bom-atendimento-valorizacao-produto/	24	8	8	0.3333333333333333
tecnologia-no-atendimento-info	33	8	8	0.24242424242424243
site-materiais-infografico-retencao	26	7	7	0.2692307692307692
site-materiais-infografico-gestao-de-pessoas	41	7	7	0.17073170731707318
lp-vivadecora-co-mkt	328	7	7	0.021341463414634148
ebook-satisfacao-do-cliente-site	33	7	7	0.21212121212121213
blog-newsletter-lateral	40	7	7	0.175
site-materiais-infografico-satisfacao	30	6	6	0.2
typage-kit-planilhas-atendimento	8	6	6	0.75
kit-ebooks-e-planilhas	19	6	6	0.3157894736842105
/o-que-e-customer-centric/	17	6	6	0.35294117647058826
/sistema-atendimento-online-ad	5	5	5	1.0
blog-newsletter-footerbar-optinmonster	23	5	5	0.21739130434782608
/cultura-de-atendimento-o-que-e/	23	5	5	0.21739130434782608
/planos-e-precos/sistema-de-chamados	8	5	5	0.625
blog-exit-intent-lightbox-optinmonster	43	5	5	0.11627906976744186
site-modal-demo-partial	8	5	5	0.625
lp-seo-sistema-chamados	7	4	4	0.5714285714285714
/planos/sistema-de-chamados	6	4	4	0.6666666666666666
lp-info-marketing-de-retencao	10	4	4	0.4
/gestao-de-pessoas-atendimento-ao-cliente/	10	4	4	0.4
ebook-satisfacao-do-cliente	46	4	4	0.08695652173913043
base_webinar	421	4	4	0.009501187648456057
/monte-uma-central-de-atendimento-ao-cliente/	22	4	4	0.18181818181818182
/mau-atendimento-excelente-produto/	20	4	4	0.2
site-exit-intent-help-desk-testeB	10	4	4	0.4
Cpia_de_Users_octa	280	4	4	0.014285714285714285
lp-webinar-octadesk	9	3	3	0.3333333333333333
lp-ad-atendimento-onlineb	4	3	3	0.75
/diferencas-service-desk-e-help-desk/	8	3	3	0.375
site-exit-intent-sistema-de-chamados	8	3	3	0.375
/sistema-de-chamados	6	3	3	0.5
/chat-para-site	5	3	3	0.6
/materiais-para-helpdesk	5	3	3	0.6
/casos-de-sucesso/sistema-de-atendimento	3	3	3	1.0
rdsummit_cartoes	51	3	3	0.058823529411764705
avaliacao-gratis-menu	6	3	3	0.5
como-reduzir-custos-com-atendimento-ao-cliente-v2	78	3	3	0.038461538461538464
blog-newsletter-final-post	30	3	3	0.1
lp-seo-sistema-help-desk	3	2	2	0.6666666666666666
Campanha_Dia_do_contador	430	2	2	0.004651162790697674
typage-kit-ebooks-planilhas	3	2	2	0.6666666666666666
/sistema-de-atendimento-ao-cliente-ad	2	2	2	1.0
/porque-nao-usar-planilha-de-atendimento/	4	2	2	0.5
passed-clean-octadesk	165	2	2	0.012121212121212121
/dicas-relacionamento-com-o-cliente/	6	2	2	0.3333333333333333
contabil-7-erros-mais-comuns-v2	8	2	2	0.25
/sistema-de-atendimento-ao-cliente/	6	2	2	0.3333333333333333
/recrutamento-de-pessoas/	8	2	2	0.25
/help-desk	5	2	2	0.4
site-exit-intent-casos-de-sucesso	6	2	2	0.3333333333333333
site-exit-intent-help-desk	4	2	2	0.5
contabil-7-erros-mais-comuns	80	2	2	0.025
rdsummit2016_app	173	2	2	0.011560693641618497
/sistema-de-suporte-ad	1	1	1	1.0
prod-tecnologia-no-atendimento-info	2	1	1	0.5
prod-lp-planilha-cadastro-de-clientes	4	1	1	0.25
prod-gestao-atendimento-ao-cliente-erp	2	1	1	0.5
planilha-de-help-desk-social	7	1	1	0.14285714285714285
/planilha-de-controle-de-chamados/	6	1	1	0.16666666666666666
lp-whatsapp-business-beta-testers	7	1	1	0.14285714285714285
ebook-reduza-custos-com-13-atitudes-matadoras	2	1	1	0.5
/concorrentes/zendesk	2	1	1	0.5
apresentacao-octadesk	1	1	1	1.0
